name	image	short_description	population_size	maximum_life_span_in_years	top_speed_in_kmh	weight	length	wingspan	continents	diet	seasonal_behavior	independent_age	population_trend	population_status	incubation_period
Greater scaup	https://martinfrancois.github.io/bird-images/2560px-2014-04-14-aythya-marila2c-female2c-killingworth-lake2c-northumberland-06.jpg	The greater scaup (Aythya marila ), just scaup in Europe or, colloquially, ""bluebill"" in North America, is a mid-sized diving duck, larger than the closely related lesser scaup. It spends the summer months breeding in Alaska, northern Canada, Siberia, and the northernmost reaches of Europe. During the winter, it migrates south to the coasts of North America, Europe, and Japan.	Unknown	0	0	-	-	-	Europe, North America, Asia	-	Migrating	-	Decreasing	Least concern (LC)	-
Greater short-toed lark	https://martinfrancois.github.io/bird-images/greater-short-toed-lark-28calandrella-brachydactyla29-282788322802129.jpg	The greater short-toed lark (Calandrella brachydactyla ) is a small passerine bird. The current scientific name is from Ancient Greek. The genus name, Calandrella, is a diminutive of kalandros, the calandra lark, and brachydactila is from brakhus, ""short"", and daktulos, ""toe"".	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Unknown	Least concern (LC)	-
Greater white-fronted goose	https://martinfrancois.github.io/bird-images/2560px-anser-albifrons-albifrons.jpg	The greater white-fronted goose (Anser albifrons ) is a species of goose related to the smaller lesser white-fronted goose (A. erythropus ). It is named for the patch of white feathers bordering the base of its bill, in fact albifrons  comes from the Latin albus ""white"" and frons "" forehead"". In Europe it has been known as the white-fronted goose; in North America it is known as the greater white-fronted goose (or ""greater whitefront""), and this name is also increasingly adopted internationally. Even more distinctive are the salt-and-pepper markings on the breast of adult birds, which is why the goose is colloquially called the ""specklebelly"" in North America.	Unknown	0	0	1.93-3.31 kg	64-81 cm	51-65 mm	North America, Europe, Asia, Africa	Frugivore,  Granivore,  Herbivore	Migrating	-	Unknown	Least concern (LC)	-
Green sandpiper	https://martinfrancois.github.io/bird-images/green-sandpiper-28tringa-ochropus29-282891398510729.jpg	The green sandpiper (Tringa ochropus ) is a small wader (shorebird) of the Old World.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Grey Heron	https://martinfrancois.github.io/bird-images/1200px-ardcinjpg.jpg	The grey heron (Ardea cinerea ) is a long-legged wading bird of the heron family, Ardeidae, native throughout temperate Europe and Asia and also parts of Africa. It is resident in much of its range, but some populations from the more northern parts migrate southwards in autumn. A bird of wetland areas, it can be seen around lakes, rivers, ponds, marshes and on the sea coast. It feeds mostly on aquatic creatures which it catches after standing stationary beside or in the water or stalking its prey through the shallows.	790,000-3.7M	20	64	1-2 kg	84-102 cm	-	Asia, Europe, Africa, North America, South America, Oceania	Carnivore,  Piscivores	Partial Migrant	50 days	-	Least concern (LC)	25-26 days
Grey Partridge	https://martinfrancois.github.io/bird-images/grey-partridge-7.jpg	The grey partridge (Perdix perdix ), also known as the grey-legged partridge, English partridge, Hungarian partridge, or hun, is a gamebird in the pheasant family Phasianidae of the order Galliformes, gallinaceous birds. The scientific name is the Latin for ""partridge"", and is itself derived from Ancient Greek perdix.	3.9-7.6 mln	5	0	385-500 g	28-32 cm	53-56 cm	Europe, Asia	Herbivore,  Granivore,  Folivore,  Carnivore,  Insectivores	Not a migrant	-	Decreasing	Least concern (LC)	-
Grey plover	https://martinfrancois.github.io/bird-images/chorlito-gris-28pluvialis-squatarola29-28506518259629.jpg	The grey plover or black-bellied plover (Pluvialis squatarola ) is a medium-sized plover breeding in Arctic regions. It is a long-distance migrant, with a nearly worldwide coastal distribution when not breeding.	Unknown	0	0	-	-	-	Europe, North America, Asia, South America, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Grey Wagtail	https://martinfrancois.github.io/bird-images/WU8bz6P7Gur5cg6GXBfb.jpg	The grey wagtail (Motacilla cinerea ) is a member of the wagtail family, Motacillidae, measuring around 18�19�cm overall length. The species looks somewhat similar to the yellow wagtail but has the yellow on its underside restricted to the throat and vent. Breeding males have a black throat. The species is widely distributed, with several populations breeding in Eurosiberia and migrating to tropical regions in Asia and Africa. The species is always associated with running water when breeding, although they may use man-made structures near streams for the nest. Outside the breeding season, they may also be seen around lakes, coasts and other watery habitats. Like other wagtails, they frequently wag their tail and fly low with undulations and they have a sharp call that is often given in flight.	6.9-19.8 mln	8	0	15-23 g	18-19 cm	25-27 cm	Europe, Asia, Africa	Carnivore,  Insectivores	Partial Migrant, Migrating	4-5 weeks	Stable	Least concern (LC)	2 weeks
Grey-headed woodpecker	https://martinfrancois.github.io/bird-images/2560px-grey-headed-woodpecker-28picus-canus29-445.jpg	The grey-headed woodpecker (Picus canus ), also known as the grey-faced woodpecker, is a Eurasian member of the woodpecker family, Picidae. Along with the more commonly found European green woodpecker and the Iberian green woodpecker, it is one of three closely related sister species found in Europe. Its distribution stretches across large parts of the central and Eastern Palaearctic, all the way to the Pacific Ocean.	Unknown	0	0	-	-	-	Europe, Asia	-	Not a migrant	-	Increasing	Least concern (LC)	-
Greylag Goose	https://martinfrancois.github.io/bird-images/greylag-goose-4.jpg	The greylag goose or graylag goose (Anser anser ) is a species of large goose in the waterfowl family Anatidae and the type species of the genus Anser. It has mottled and barred grey and white plumage and an orange beak and pink legs. A large bird, it measures between 74 and 91 centimetres (29 and 36�in) in length, with an average weight of 3.3 kilograms (7�lb 4�oz). Its distribution is widespread, with birds from the north of its range in Europe and Asia migrating southwards to spend the winter in warmer places. It is the type species of the genus Anser and is the ancestor of most breeds of domestic goose, having been domesticated at least as early as 1360�BC. The genus name is from anser, the Latin for ""goose"".	1-1.1 mln	30	0	2-4.5 kg	76-89 cm	147-180 cm	Europe, Asia, Oceania, Africa	Herbivore,  Graminivore,  Folivore,  Granivore	Migrating	8-9 weeks	Increasing	Least concern (LC)	28 days
Gyrfalcon	https://martinfrancois.github.io/bird-images/PQ8XMpYj4PMaRTvZ8c1r.jpg	The gyrfalcon ( or ) (Falco rusticolus ), the largest of the falcon species, is a bird of prey. The abbreviation gyr is also used. It breeds on Arctic coasts and tundra, and the islands of northern North America and the Eurosiberian region. It is mainly a resident there also, but some gyrfalcons disperse more widely after the breeding season, or in winter. Individual vagrancy can take birds for long distances. Its plumage varies with location, with birds being coloured from all-white to dark brown. These colour variations are called morphs. Like other falcons, it shows sexual dimorphism, with the female much larger than the male. For centuries, the gyrfalcon has been valued as a hunting bird. Typical prey includes the ptarmigan and waterfowl, which it may take in flight; it also takes fish and mammals.	20-70 thou	20	209	805-2,100 g	48-65 cm	110-160 cm	North America, Europe, Asia	Carnivore	Partial Migrant	3-4 months	Stable	Least concern (LC)	-
Harlequin Duck	https://martinfrancois.github.io/bird-images/veKmRIqoFzzW7QebqCbM.jpg	The harlequin duck (Histrionicus histrionicus ) is a small sea duck. It takes its name from Harlequin (French Arlequin, Italian Arlecchino ), a colourfully dressed character in Commedia dell'arte. The species name comes from the Latin word ""histrio"", meaning ""actor"". In North America it is also known as lords and ladies. Other names include painted duck, totem pole duck, rock duck, glacier duck, mountain duck, white-eyed diver, squeaker and blue streak.	190-380 thou	14	0	600 g	380-430 mm	660 mm	North America, Europe, Asia	Carnivore,  Piscivores	Migrating	50-70 days	Increasing	Least concern (LC)	27-29 days
Hawfinch	https://martinfrancois.github.io/bird-images/2560px-appelvink.jpg	The hawfinch (Coccothraustes coccothraustes ) is a passerine bird in the finch family Fringillidae. It is the only species placed in the genus Coccothraustes. Its closest living relatives are the Chinese grosbeak (Eophona migratoria ) and Japanese grosbeak (Eophona personata ) of East Asia, and the evening grosbeak (Hesperiphona vespertina ) and hooded grosbeak (Hesperiphona abeillei ) of North America.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Hazel grouse	https://martinfrancois.github.io/bird-images/tetrastes-bonasia-kallerna.jpg	The hazel grouse (Tetrastes bonasia ), sometimes called the hazel hen, is one of the smaller members of the grouse family of birds. It is a sedentary species, breeding across the Palearctic as far east as Hokkaido, and as far west as eastern and central Europe, in dense, damp, mixed coniferous woodland, preferably with some spruce. The bird is sometimes referred to as ""rabchick"" (from ______) by early 20th century English speaking travellers to Russia.	Unknown	0	0	-	-	-	Europe, Asia	-	Not a migrant	-	Decreasing	Least concern (LC)	-
Hen Harrier	https://martinfrancois.github.io/bird-images/LbbUgkgJ4okyQ2teIukv.jpg	The hen harrier (Circus cyaneus ) is a bird of prey. It breeds in Eurasia. The term ""hen harrier"" refers to its former habit of preying on free-ranging fowl.	330-512 thou	16	61	290-750 g	41-52 cm	97-122 cm	Europe, Asia, Africa, North America	Carnivore	Migrating	36 days	Decreasing	Least concern (LC)	31-32 days
Horned grebe	https://martinfrancois.github.io/bird-images/789px-horned-grebe-nesting.jpg	The horned grebe or Slavonian grebe (Podiceps auritus ) is a relatively small waterbird in the family Podicipedidae. There are two known subspecies: P. a. auritus, which breeds in the Palearctic, and P. a. cornutus, which breeds in North America. The Eurasian subspecies is distributed over most of northern Europe and the Palearctic, breeding from Greenland to western China. The North American subspecies spans most of Canada and some of the United States. The species got its name from large patches of yellowish feathers located behind the eyes, called ""horns"", that the birds can raise and lower at will.	Unknown	5	0	300-570 g	31-39 cm	-	North America, Europe, Asia	Carnivore,  Insectivores,  Molluscivore,  Piscivores	Migrating	-	Decreasing	Vulnerable (VU)	-
Horned Lark	https://martinfrancois.github.io/bird-images/horned-lark-sisters-oregon-s4e7392.jpg	The horned lark or shore lark (Eremophila alpestris ) is a species of lark in the family Alaudidae found across the northern hemisphere. It is known as ""horned lark"" in North America and ""shore lark"" in Europe.	140 mln	8	0	28-48 g	16-20 cm	30-34 cm	North America, Europe, Asia, Africa, South America	Omnivore	Partial Migrant	-	Decreasing	Least concern (LC)	10-12 days
House Sparrow	https://martinfrancois.github.io/bird-images/k3-p1681-srgb.jpg	The House sparrow (Passer domesticus) is a small passerine bird found in most parts of the world. The extent of its range makes it the most widely distributed wild bird on the planet. Because of its numbers, ubiquity, and association with human settlements, the House sparrow is culturally prominent. It is extensively, and usually unsuccessfully, persecuted as an agricultural pest. It has also often been kept as a pet and was a food item. Though it is widespread and abundant, its numbers have declined in some areas.	896-1.3 M	23	40	24-40 g	14-18 cm	19-25 cm	Europe, Asia, Africa, North America, South America	Omnivore	Not a migrant	14-16 days	Decreasing	Least concern (LC)	-
Icterine warbler	https://martinfrancois.github.io/bird-images/20130719-071-peel-en-maas-kessel-weerdbeemden-spotvogel-28932315934629.jpg	The icterine warbler (Hippolais icterina ) is an Old World warbler in the tree warbler genus Hippolais. It breeds in mainland Europe except the southwest, where it is replaced by its western counterpart, melodious warbler. It is migratory, wintering in sub-Saharan Africa.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Italian sparrow	https://martinfrancois.github.io/bird-images/image-passer-italiae-228loz29.jpg	The Italian sparrow (Passer italiae ), also known as the cisalpine sparrow, is a passerine bird of the sparrow family Passeridae, found in Italy and other parts of the Mediterranean region. In appearance, it is intermediate between the house sparrow, and the Spanish sparrow, a species of the Mediterranean and Central Asia closely related to the house sparrow. The Italian sparrow occurs in northern Italy and neighbouring regions, with intermediates with the house sparrow in a very narrow contact zone in the Alps, a slow gradation in appearance from the Italian to Spanish sparrows across central and southern Italy, and more birds of intermediate appearance in Malta, Crete, and other parts of the Mediterranean.	Unknown	0	0	-	-	-	Europe	-	Not a migrant	-	Decreasing	Vulnerable (VU)	-
Ivory Gull	https://martinfrancois.github.io/bird-images/shutterstock-2180869363jpg.jpg	The ivory gull (Pagophila eburnea ) is a small gull, the only species in the genus Pagophila. It breeds in the high Arctic and has a circumpolar distribution through Greenland, northernmost North America, and Eurasia.	58-78 thou	20	0	448-687 g	40-43 cm	108-120 cm	North America, Europe, Asia	Carnivore,  Piscivores,  Scavenger	Migrating	5-7 weeks	Decreasing	Near Threatened (NT)	25 days
Jack snipe	https://martinfrancois.github.io/bird-images/lymnocryptes-minimus.jpg	The jack snipe or jacksnipe (Lymnocryptes minimus ) is a small stocky wader. It is the smallest snipe, and the only member of the genus Lymnocryptes. Features such as its sternum make it quite distinct from other snipes or woodcocks.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Kentish plover	https://martinfrancois.github.io/bird-images/kentish-plover-charadrius-alexandrinus-by-vedant-kasambe-02.jpg	The Kentish plover (Charadrius alexandrinus ) is a small cosmopolitan shorebird (40-44 g) of the family Charadriidae that breeds on the shores of saline lakes, lagoons, and coasts, populating sand dunes, marshes, semi-arid desert, and tundra. Both male and female birds have pale plumages with a white underside, grey/brown back, dark legs and a dark bill, however additionally the male birds also exhibit very dark incomplete breast bands, and dark markings either side of their head, therefore the Kentish plover is regarded as sexually dimorphic	Unknown	11	0	34-58 g	-	-	North America, Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Killdeer	https://martinfrancois.github.io/bird-images/killdeer-1.jpg	The killdeer (Charadrius vociferus) is a large plover found in the Americas. It was described and given its current scientific name in 1758 by Carl Linnaeus in the 10th edition of his Systema Naturae. The common name of this species comes from its often-heard call. The population of killdeer is declining and it is protected by the American Migratory Bird Treaty Act of 1918 and the Canadian Migratory Birds Convention Act.	1,000,000	11	0	72-121 g	20-28 cm	59-63 cm	North America, South America	Carnivore,  Insectivores	Partial Migrant	31-41 days	Decreasing	Least concern (LC)	22-28 days
Lesser black-backed gull	https://martinfrancois.github.io/bird-images/1280px-dc3bcne-von-helgoland-nordsee-285056577204129.jpg	The lesser black-backed gull (Larus fuscus ) is a large gull that breeds on the Atlantic coasts of Europe. It is migratory, wintering from the British Isles south to West Africa. It has increased dramatically in North America, most common along the east coast. Formerly just a winter visitor, many birds are now spotted year-round. Some winters they occur in large numbers. Even on the west coast, this species has become an annual winter visitor in California with birds reported around most of the state each winter. They've even been seen in numbers at the Salton Sea.	Unknown	0	0	-	-	-	Europe, North America, Asia, South America, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Lesser grey shrike	https://martinfrancois.github.io/bird-images/lesser-grey-shrike-0747-flickr-ragnhild-26-neil-crawford.jpg	The lesser grey shrike (Lanius minor ) is a member of the shrike family Laniidae. It breeds in South and Central Europe and western Asia in the summer and migrates to winter quarters in southern Africa in the early autumn, returning in spring. It is a scarce vagrant to western Europe, including Great Britain, usually as a spring or autumn erratic.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Lesser spotted woodpecker	https://martinfrancois.github.io/bird-images/img-20190821-wa0012.jpg	The lesser spotted woodpecker (Dryobates minor ) is a member of the woodpecker family Picidae. It was formerly assigned to the genus Dendrocopos (sometimes incorrectly spelt as Dendrocopus ). Some taxonomic authorities continue to list the species there.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Not a migrant	-	Decreasing	Least concern (LC)	-
Lesser whitethroat	https://martinfrancois.github.io/bird-images/lesser-whitethroat-28sylvia-curruca29-282785947818929.jpg	The lesser whitethroat (Curruca curruca ) is a common and widespread typical warbler which breeds in temperate Europe, except the southwest, and in the western and central Palearctic. This small passerine bird is strongly migratory, wintering in Africa just south of the Sahara, Arabia and India.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Little bittern	https://martinfrancois.github.io/bird-images/blongios-nain-ixobrychus-minutus-dsc-0422-285031147281229.jpg	The little bittern or common little bittern (Ixobrychus minutus ) is a wading bird in the heron family, Ardeidae. Ixobrychus is from Ancient Greek ixias, a reed-like plant and brukhomai, to bellow, and minutus is Latin for ""small"".	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Partial Migrant	-	Decreasing	Least concern (LC)	-
Little crake	https://martinfrancois.github.io/bird-images/porzanaparva17062017slovakiaspaparizskemociare.jpg	The little crake (Zapornia parva ) is a very small waterbird of the family Rallidae. parva is Latin for ""small"".	Unknown	0	0	-	-	-	Europe, Asia	-	Migrating	-	Stable	Least concern (LC)	-
Little Egret	https://martinfrancois.github.io/bird-images/oCJyVTpeXKK3tI5KSjmN.jpg	The little egret (Egretta garzetta ) is a species of small heron in the family Ardeidae. It is a white bird with a slender black beak, long black legs and, in the western race, yellow feet. As an aquatic bird, it feeds in shallow water and on land, consuming a variety of small creatures. It breeds colonially, often with other species of water birds, making a platform nest of sticks in a tree, bush or reed bed. A clutch of three to five bluish-green eggs is laid and incubated by both parents for about three weeks. The young fledge at about six weeks of age.	660-3150000	22	0	350-550 g	55-65 cm	88-106 cm	Europe, Asia, Africa, Oceania, North America	Carnivore	Partial Migrant, Migrating	40-45 days	Increasing	Least concern (LC)	-
Little Grebe	https://martinfrancois.github.io/bird-images/oULURK4MOxqGNO81kPex.jpg	The little grebe (Tachybaptus ruficollis ), also known as dabchick, is a member of the grebe family of water birds. The genus name is from Ancient Greek takhus ""fast"" and bapto ""to sink under"". The specific ruficollis is from Latin rufus ""red"" and Modern Latin -collis, ""-necked"", itself derived from Latin collum ""neck"".	610,000-3.5M	15	0	130-236 g	23-29 cm	40-45 cm	Europe, Asia, Africa, Oceania	Carnivore,  Insectivores,  Piscivores	Partial Migrant, Migrating	-	Decreasing	Least concern (LC)	20-25 days
Little gull	https://martinfrancois.github.io/bird-images/hydrocoloeus-minutus-russia-38.jpg	The little gull (Hydrocoloeus minutus or Larus minutus ), is a small gull that breeds in northern Europe and across the Palearctic. The genus name Hydrocoloeus is from Ancient Greek hydro, ""water"", and koloios, a sort of web-footed bird. The specific minutus is Latin for ""small"".	Unknown	0	0	-	-	-	Europe, North America, Asia, South America, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Little Owl	https://martinfrancois.github.io/bird-images/euUKlmQ66deC7nhREVLx.jpg	The little owl (Athene noctua ), also known as the owl of Athena or owl of Minerva, is a bird that inhabits much of the temperate and warmer parts of Europe, the Palearctic east to Korea, and North Africa. It was introduced into Britain at the end of the 19th century and into the South Island of New Zealand in the early 20th century.	5-10 mln	15	0	180 g	22 cm	56 cm	Europe, Asia, Africa	Carnivore	Not a migrant	8-9 weeks	Stable	Least concern (LC)	28-29 days
Little ringed plover	https://martinfrancois.github.io/bird-images/2560px-little-ring-plover.jpg	The little ringed plover (Charadrius dubius ) is a small plover. The genus name Charadrius is a Late Latin word for a yellowish bird mentioned in the fourth-century Vulgate. It derives from Ancient Greek kharadrios a bird found in river valleys (kharadra, ""ravine""). The specific dubius is Latin for doubtful, since Sonnerat, writing in 1776, thought this bird might be just a variant of common ringed plover.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Little stint	https://martinfrancois.github.io/bird-images/little-stint-calidris-minuta-by-vedant-kasambe-dsc-5652nef.jpg	The little stint (Calidris minuta ) (or Erolia minuta ), is a very small wader. It breeds in arctic Europe and Asia, and is a long-distance migrant, wintering south to Africa and south Asia. It occasionally is a vagrant to North America and to Australia. The genus name is from Ancient Greek kalidris or skalidris, a term used by Aristotle for some grey-coloured waterside birds. The specific minuta is Latin for ""small.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Little tern	https://martinfrancois.github.io/bird-images/2560px-little-tern-sternula-albifrons-at-shoalhaven-heads-nsw.jpg	The little tern (Sternula albifrons ) is a seabird of the family Laridae. It was formerly placed into the genus Sterna, which now is restricted to the large white terns. The genus name is a diminutive of Sterna, ""tern"". The specific albifrons is from Latin albus, ""white"", and ""frons"", forehead. The former North American (S. a. antillarum ) and Red Sea S. a. saundersi subspecies are now considered to be separate species, the least tern (Sternula antillarum ) and Saunders's tern (Sternula saundersi ).	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Long-Eared Owl	https://martinfrancois.github.io/bird-images/TSBiLg8JoIJQPASRm38u.jpg	The long-eared owl (Asio otus ), also known as the northern long-eared owl or, more informally, as the lesser horned owl or cat owl, is a medium-sized species of owl with an extensive breeding range. The scientific name is from Latin. The genus name Asio is a type of eared owl, and otus also refers to a small, eared owl. The species breeds in many areas through Europe and the Palearctic, as well as in North America. This species is a part of the larger grouping of owls known as typical owls, of the family Strigidae, which contains most extant species of owl (while the other taxonomic family of owls are the barn owls, or Tytonidae).	2.1-5.5 mln	30	50	160-435 g	31-40 cm	86-102 cm	Europe, Asia, Africa, North America	Carnivore	Partial Migrant	2 months	Decreasing	Least concern (LC)	27-30 days
Long-Tailed Duck	https://martinfrancois.github.io/bird-images/rSnQLLax5lmE1bi6DhRq.jpg	The long-tailed duck (Clangula hyemalis ), formerly known as oldsquaw, is a medium-sized sea duck that breeds in the tundra and taiga regions of the arctic and winters along the northern coastlines of the Atlantic and Pacific Oceans. It is the only member of its genus Clangula.	3,2-3,7 mln	15	0	740 g	440-600 mm	710 mm	North America, Europe, Asia	Carnivore	Migrating	35-40 days	Decreasing	Vulnerable (VU)	24-29 days
Long-tailed jaeger	https://martinfrancois.github.io/bird-images/2560px-long-tailed-skua-28js29-26.jpg	The long-tailed skua or long-tailed jaeger (Stercorarius longicaudus ) is a seabird in the skua family Stercorariidae.	Unknown	0	0	280-310 g	-	-	North America, Antarctica, Europe, Asia, South America, Africa	Carnivore,  Piscivores	Migrating	-	Stable	Least concern (LC)	-
Long-Tailed Tit	https://martinfrancois.github.io/bird-images/1620px-long-tailed-tit-gennevilliers-2022-02-05jpg.jpg	The long-tailed tit (Aegithalos caudatus ), also named long-tailed bushtit, is a common bird found throughout Europe and the Palearctic. The genus name Aegithalos was a term used by Aristotle for some European tits, including the long-tailed tit.	40-80 mln	0	0	7-9 g	13-15 cm	18 cm	Europe, Asia	Carnivore,  Insectivores	Not a migrant	-	Stable	Least concern (LC)	2-3 weeks
Mallard	https://martinfrancois.github.io/bird-images/male-mallard-duck-on-a-lake-2jpg.jpg	The mallard (Anas platyrhynchos) is a dabbling duck that breeds throughout the temperate and subtropical Americas, Eurasia, and North Africa. Mallards live in wetlands, eat water plants and small animals, and prefer to congregate in flocks of varying sizes. Unlike many waterfowl, mallards are considered an invasive species in some regions. It is a very adaptable species, being able to live and even thrive in urban areas. This species is the main ancestor of most breeds of domestic duck, and its naturally evolved wild gene pool has been genetically polluted by the domestic and feral mallard populations.	above 19 Mln	20	104	0.7-1.6 kg	50-65 cm	81-98 cm	Asia, Europe, Africa, North America, South America, Oceania	Omnivore	Partial Migrant	42-60 days	Increasing	Least concern (LC)	26-28 days
Marsh sandpiper	https://martinfrancois.github.io/bird-images/marsh-sandpiper-ndutu-tanzania-2008-02-25-0095-281584119274129.jpg	The marsh sandpiper (Tringa stagnatilis ) is a small wader. It is a rather small shank, and breeds in open grassy steppe and taiga wetlands from easternmost Europe to the Russian Far East. The genus name Tringa is the New Latin name given to the green sandpiper by Aldrovandus in 1599 based on Ancient Greek trungas, a thrush-sized, white-rumped, tail-bobbing wading bird mentioned by Aristotle. The specific stagnatilis is from Latin stagnum, ""swamp"".	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Marsh tit	https://martinfrancois.github.io/bird-images/2560px-poecile-palustris-281635566414529.jpg	The marsh tit (Poecile palustris ) is a passerine bird in the tit family Paridae and genus Poecile, closely related to the willow, P�re David's and Songar tits. It is a small bird, around 12�cm (4.7�in) long and weighing 12�g (0.42�oz), with a black crown and nape, pale cheeks, brown back and greyish-brown wings and tail. Between 8 and 11 subspecies are recognised. Its close resemblance to the willow tit can cause identification problems, especially in the United Kingdom where the local subspecies of the two are very similar: they were not recognised as separate species until 1897.	Unknown	0	0	-	-	-	Europe, Asia	-	Not a migrant	-	Decreasing	Least concern (LC)	-
Marsh warbler	https://martinfrancois.github.io/bird-images/2560px-acrocephalus-palustris-irpin7.jpg	The marsh warbler (Acrocephalus palustris ) is an Old World warbler currently classified in the family Acrocephalidae. It breeds in temperate Europe and the western Palearctic and winters mainly in south east Africa. It is notable for incorporating striking imitations of a wide variety of other birds into its song.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Stable	Least concern (LC)	-
Meadow pipit	https://martinfrancois.github.io/bird-images/anthus-pratensis-meadow-pipit2c-adana-2016-11-05-01-1.jpg	The meadow pipit (Anthus pratensis ) is a small passerine bird, which breeds in much of the Palearctic, from southeastern Greenland and Iceland east to just east of the Ural Mountains in Russia, and south to central France and Romania; an isolated population also occurs in the Caucasus Mountains. It is migratory over most of its range, wintering in southern Europe, North Africa, and south-western Asia, but is resident year-round in western Europe, though even here many birds move to the coast or lowlands in winter.	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Near Threatened (NT)	-
Mediterranean gull	https://martinfrancois.github.io/bird-images/2560px-gaviota-cabecinegra-28larus-melanocephalus29.jpg	The Mediterranean gull (Ichthyaetus melanocephalus ) is a small gull. The scientific name is from Ancient Greek. The genus Ichthyaetus is from ikhthus, ""fish"", and aetos, ""eagle"", and the specific melanocephalus is from melas, ""black"", and -kephalos ""-headed"".	Unknown	0	0	-	-	-	Europe, Asia, Africa	-	Migrating	-	Decreasing	Least concern (LC)	-
Melodious warbler	https://martinfrancois.github.io/bird-images/2560px-melodious-warbler-28hippolais-polyglotta292c-le-petit-loc27h2c-guidel2c-brittany2c-france-281999140215229.jpg	The melodious warbler (Hippolais polyglotta ) is an Old World warbler in the tree warbler genus Hippolais. It breeds in southwest Europe and northwest Africa. It is migratory, wintering in sub-Saharan Africa. This small passerine bird is a species found in open woodland with bushes. Three to five eggs are laid in a nest in a tree or a bush. This is a common bird in many parts of its wide range and the International Union for Conservation of Nature has rated its conservation status as being of ""least concern"".	Unknown	0	0	-	-	-	Europe, Africa	-	Migrating	-	Increasing	Least concern (LC)	-
Merlin	https://martinfrancois.github.io/bird-images/merlin-falconjpg.jpg	The merlin (Falco columbarius ) is a small species of falcon from the Northern Hemisphere, with numerous subspecies throughout North America and Eurasia. A bird of prey once known colloquially as a pigeon hawk in North America, the merlin breeds in the northern Holarctic; some migrate to subtropical and northern tropical regions in winter. Males typically have wingspans of 53�58 centimetres (21�23�in), with females being slightly larger. They are swift fliers and skilled hunters who specialize in preying on small birds in the size range of sparrows to quail. The merlin has for centuries been well regarded as a falconry bird. In recent decades merlin populations in North America have been significantly increasing, with some merlins becoming so well adapted to city life that they forgo migration.	250,000-3.2m	10	48	125-300 g	24-33 cm	50-73 cm	North America, Europe, Asia, Africa, South America	Carnivore	Migrating	8 weeks	Stable	Least concern (LC)	28-32 days
Middle spotted woodpecker	https://martinfrancois.github.io/bird-images/middle-spotted-woodpecker-284617612824529.jpg	The middle spotted woodpecker (Dendrocoptes medius ) is a European woodpecker belonging to the genus Dendrocoptes.	Unknown	0	0	-	-	-	Europe, Asia	-	Not a migrant	-	Increasing	Least concern (LC)	-
Mistle Thrush	https://martinfrancois.github.io/bird-images/mistle-thrush-6.jpg	The Mistle thrush (Turdus viscivorus ) is a bird common to much of Europe, temperate Asia, and North Africa. Males of this species have a loud, far-carrying song that is delivered even in wet and windy weather, earning the bird the old name of stormcock.	13-30 mln	21	0	93-167 g	27-28 cm	45 cm	Europe, Asia, Africa	Carnivore,  Herbivore,  Frugivore,  Granivore	Partial Migrant	29-36 days	Decreasing	Least concern (LC)	12-15 days
Montagu's Harrier	https://martinfrancois.github.io/bird-images/JCPCFQ4HSUon4RsKztcz.jpg	Montagu's harrier (Circus pygargus ) is a migratory bird of prey of the harrier family. Its common name commemorates the British naturalist George Montagu.	100-500 thou	16	65	265-345 g	43-47 cm	97-115 cm	Europe, Asia, Africa	Carnivore	Migrating	6-8 weeks	Decreasing	Near Threatened (NT)	-
